Title,Old Price,Promotional Price,Rating,Link,Description
"Ipega Support Vertical 6 en 1 pour Console PS5, ventilateur de refroidissement",749.0,399.0,5.0,https://www.jumia.ma/ipega-support-vertical-6-en-1-pour-console-ps5-ventilateur-de-refroidissement-62029020.html,"Support Vertical 6 en 1 pour Console PS5, ventilateur de refroidissement, station de charge, support de casque, magasin de jeu pour accessoires de jeu PS5﻿﻿﻿Ce produit convient à la dissipation thermique de la console de jeu d'origine P5, au chargement de la poignée, au placement des accessoires et au stockage.﻿﻿﻿Avec l'indicateur de charge, il est facile d'identifier l'état de charge pendant le processus de charge.﻿﻿﻿Il y a deux têtes mâles TYPE-C dédiées dans la fente de chargement du berceau. Il est très pratique de prendre et de mettre la poignée lors du chargement.﻿﻿﻿Equipé d'un support d'écouteur, les écouteurs peuvent être placés, pratique à prendre et à ranger.﻿﻿﻿Les doubles ventilateurs peuvent refroidir et dissiper la chaleur vers l'hôte.﻿﻿﻿Équipé d'un support de disque de jeu, qui peut contenir 17 disques de jeu.﻿﻿﻿Équipé d'un port de sortie USB2.0 5V, qui peut charger des écouteurs, des téléphones mobiles et d'autres appareilsParamètres de produit:Shgut ruu diànyanya: 4.75V-5.25V shgut rchu diänliuu: ≤ 2Adâ n zù chóngdiànliuu: ≤ 600 MA chóngdianya shijiã n: 5 xiãoshilo57 / 5000Tension d'entrée: 4.75V-5.25VCourant d'entrée: ≤ 2ACourant de charge de groupe unique: ≤ 600 mA"
Capuchon en Silicone Analogue de Manette de Jeux ps4/ps5,79.0,28.9,3.8,https://www.jumia.ma/generic-capuchon-en-silicone-analogue-de-manette-de-jeux-ps4ps5-52188860.html,Capuchon en Silicone Analogue de Manette de Jeux ps4/ps5 Capuchon en Silicone Analogue de Manette de Jeux ps4/ps5Capuchon en Silicone Analogue de Manette de Jeux ps4/ps5 Capuchon en Silicone Analogue de Manette de Jeux ps4/ps5Capuchon en Silicone Analogue de Manette de Jeux ps4/ps5 Capuchon en Silicone Analogue de Manette de Jeux ps4/ps5Capuchon en Silicone Analogue de Manette de Jeux ps4/ps5 Capuchon en Silicone Analogue de Manette de Jeux
Manette de jeu USB contrôleur filaire pour XBOX pour Windows 7 / 8 / 10,200.0,169.0,4.2,https://www.jumia.ma/generic-manette-de-jeu-usb-controleur-filaire-pour-xbox-pour-windows-7-8-10-62969739.html,"Description du produit:1. Contrôleur filaire de précision pour Microsoft pour Xbox pour 360 système de jeu
2. Pour Windows 7/8/10
3. Un remplacement parfait ou un contrôleur supplémentaire pour vous
4. Appareil Compatible: pour xbox 360 et PC
5. Couleurs: noir, blanc.
6. Découvrez les jeux de nouvelle génération grâce à la nouvelle norme en matière de contrôleurs filaires.
7. Retour de vibration réglable pour une expérience de jeu personnalisée.Liste de paque"
Nintendo Console Switch - Modèle OLED Edition Mario (rouge),4.0,4.0,5.0,https://www.jumia.ma/nintendo-console-switch-modele-oled-edition-mario-rouge-64770076.html,"Une nouvelle venue va bientôt rejoindre la gamme Nintendo Switch : la Nintendo Switch (modèle OLED) possède des dimensions proches de celles de la Nintendo Switch mais dispose d’un écran OLED plus grand aux couleurs intenses et aux contrastes élevés. Elle dispose aussi d’un large support ajustable pour le jeu en mode sur table, d’une nouvelle station d’accueil avec port Ethernet pour un jeu en ligne stable, de 64 Go de mémoire interne et de haut-parleurs intégrés proposant un audio amélioré pour les modes nomades (portable et sur table). Tout comme la Nintendo Switch, la Nintendo Switch (modèle OLED) permet de jouer sur un téléviseur et de partager les manettes Joy-Con détachables pour s’amuser en multijoueur.La Nintendo Switch (modèle OLED) sortira le 8 octobre et offrira aux joueurs et aux joueuses une nouvelle possibilité pour profiter du vaste catalogue de titres disponibles sur Nintendo Switch.Caractéristiques :La Nintendo Switch (modèle OLED) améliore l’expérience utilisateur dans les trois modes de jeu disponibles :• Mode téléviseur : installez la Nintendo Switch (modèle OLED) dans la station d’accueil pour jouer aux titres Nintendo Switch sur téléviseur. Le port LAN intégré dans la station d’accueil permet de profiter d’une nouvelle façon de se connecter en ligne en mode téléviseur.• Mode sur table : déployez le support au dos de la console et servez-vous de l’écran de la console pour jouer à plusieurs grâce aux deux manettes Joy-Con incluses avec la console. Le large support ajustable offre une base solide et stable. Il permet aussi d’incliner librement la console pour offrir plusieurs angles de vue afin de mieux voir l’écran.• Mode portable : transportez la console partout avec vous et jouez en mode portable entre amis, en mode local* comme en ligne**. L’écran OLED 7 pouces affiche des couleurs intenses et des contrastes élevés.À son lancement, le modèle sera disponible en deux coloris différents :• Nintendo Switch (modèle OLED) avec station d’accueil et manettes Joy-Con blanches, qui inclut des manettes Joy-Con blanches, une unité principale noire et une station d’accueil blanche.• Nintendo Switch (modèle OLED) avec manettes Joy-Con bleu néon / rouge néon, qui inclut des manettes Joy-Con bleu néon et rouge néon, une unité principale noire et une station d’accueil noire.Informations complémentaires :• Une pochette de transport et protection d’écran Nintendo Switch destinées à la Nintendo Switch (modèle OLED) seront également disponibles.• Toutes les manettes Joy-Con pour Nintendo Switch sont compatibles avec ce nouveau modèle. De plus, la Nintendo Switch (modèle OLED) est compatible avec tous les logiciels Nintendo Switch.***• Les utilisateurs faisant l’acquisition de ce nouveau modèle et souhaitant transférer leurs jeux téléchargeables et leurs données de sauvegarde depuis une autre Nintendo Switch peuvent trouver plus d’informations au sujet du processus de transfert sur la page d'assistance « Comment transférer ses données utilisateur »"
Dobe Ventilateur de refroidissement pour PS5 avec lumière LED,349.0,197.0,5.0,https://www.jumia.ma/dobe-ventilateur-de-refroidissement-pour-ps5-avec-lumiere-led-65714230.html,"PrésentationSignaler cet articleRadiateur de ventilateur de refroidissement DC 5V Support vertical Ventilateur de refroidissement hôte arrière 5500 ± 1100 tr/min LED Lumière bleue avec disque de port USB/Digital Editions Upgrade Gaming Accessories Système de refroidissement efficaceCaractéristique:1. Compatibilité: Ce ventilateur de refroidissement peut être utilisé avec les consoles P5 CFI-1000A et CFI-1000B, ce qui en fait une option polyvalente pour les joueurs qui possèdent l'une ou l'autre version.2. Interrupteur de ventilateur: allumez ou éteignez le ventilateur facilement, en installant ce refroidisseur de console de jeu sur votre console P5 et en utilisant l'interrupteur du ventilateur, vous pouvez facilement allumer ou éteindre le ventilateur selon vos besoins.3. Ventilateur de refroidissement: avec trois ventilateurs haute vitesse, ce ventilateur de refroidissement peut améliorer la circulation de l'air dans la console et le garder au frais pendant les sessions de jeu intenses.4. Lumière du ventilateur: le ventilateur de remplacement est équipé d'un rétro-éclairage qui s'allume lorsque les ventilateurs fonctionnent, ajoutant une touche élégante à la configuration de votre console.5. Port de sortie USB: Le port de sortie USB du ventilateur de refroidissement fournit une alimentation DC5V et permet le transfert de données, ce qui fait du ventilateur de refroidissement externe la solution parfaite pour charger vos appareils pendant que vous jouez. De plus, le port USB supplémentaire à l'arrière de la console P5 ajoute encore plus de commodité. Spécification:Origine: Chine continentaleCompatible Marque/Modèle: pour SonyNuméro du modèle: Cooling FanMatériau du produit: ABSTension de fonctionnement: DC 5VCourant de travail: 0.5AVitesse du ventilateur: 5500 ± 1100 tr/minNombre de ventilateurs: 3PCSPoids du produit: 105gTaille du produit: 195x63x35mm/7,67x2,48x1,37 poucesCouleur: blanc/noir (facultatif) Liste d'emballage1 X Ventilateur de refroidissement1 X Manuel d'instructions"
Câble USB pour Manette Xbox 360,120.0,69.0,5.0,https://www.jumia.ma/generic-cable-usb-pour-manette-xbox-360-62969740.html,"& High quality.USB cable allows you to charge your Microsoft xBox 360 Wireless Controller while playing games.Charges For XBOX 360 wireless controllers through any USB port.Never runs out battery again while you are about to strike your final score. Accessory For ONLY, For Xbox 360 Controller NOT IncludedPackage Content:1* USB charge"
Cd Projekt Red Cyberpunk 2077 Day One Edition - Playstation 4 et 5 (Next Gen Update Incluse),429.0,299.0,5.0,https://www.jumia.ma/cd-projekt-red-cyberpunk-2077-day-one-edition-playstation-4-et-5-next-gen-update-incluse-63855239.html,"Cyberpunk 2077 - Playstation 4

 
Cyberpunk 2077 est un RPG d'action-aventure en monde ouvert qui se 
déroule dans la mégalopole de Night City, où vous incarnez un 
cyber-mercenaire qui livre un combat sans merci pour sa survie. Amélioré
 spécialement pour la next-gen et comprenant du contenu additionnel 
gratuit, personnalisez entièrement votre personnage et votre style de 
jeu en accomplissant des boulots, améliorez votre réputation et 
déverrouillez des améliorations. Les relations que vous nouerez et les 
choix que vous ferez auront un impact sur l'histoire et le monde qui 
vous entoure. C'est ici que se forgent les légendes. Quelle sera la 
vôtre ?CRÉEZ VOTRE PROPRE CYBERPUNKDevenez un hors-la-loi urbain équipé d'améliorations cybernétiques et forgez votre légende dans les rues de Night City.EXPLOREZ LA VILLE DU FUTURNight
 City regorge de choses à faire, d'endroits à voir et de gens à 
rencontrer. Et vous êtes libre d'aller où vous voulez, quand vous 
voulez, comme vous voulez.FORGEZ VOTRE LÉGENDELancez-vous 
dans des aventures risquées et nouez des relations avec des personnages 
inoubliables dont le sort dépendra de vos choix.PROFITEZ DES FONCTIONNALITÉS NEXT-GENRedécouvrez
 Night City comme vous ne l'avez jamais vue, avec des temps de 
chargement plus rapides, des visuels et un gameplay améliorés, la 
compatibilité ray tracing et 4K dynamique, et bien plus. Tout cela est 
inclus dans la mise à jour gratuite offerte aux possesseurs de Cyberpunk
 2077.DU CONTENU ADDITIONNEL GRATUITProfitez d'une avalanche
 d'objets gratuits, tels que de nouvelles armes à feu ou de mêlée, de 
nouvelles options de personnalisation, et bien plus.
 
 
 


Caractéristiques : 

Plateforme : PlayStation 4 / 5Développeur : CD Projekt RED
Éditeur : CD PROJEKT
Genre : Action, RPG"
EA Sports FC 24 Standard Edition- PlayStation 5,599.0,329.0,4.5,https://www.jumia.ma/ea-sports-fc-24-standard-edition-playstation-5-64332631.html,"EA SPORTS FC 24 ouvre une nouvelle ère pour le jeu mondial : plus de 19 000 joueurs sous licence, plus de 700 équipes et plus de 30 ligues jouant ensemble dans l'expérience de football la plus authentique jamais créée.Sentez-vous plus proche du jeu avec trois technologies de pointe offrant un réalisme inégalé à chaque match : HyperMotionV**, PlayStyles optimisés par Opta et un moteur Frostbite révolutionnaire.HyperMotionV capture le jeu tel qu'il est réellement joué, en utilisant les données volumétriques de plus de 180 matchs professionnels masculins et féminins pour garantir que les mouvements dans le jeu reflètent avec précision l'action réelle sur le terrain."
Nintendo Étui de protection haute transparence pour Nintendo Switch,130.0,110.0,3.0,https://www.jumia.ma/nintendo-etui-de-protection-haute-transparence-pour-nintendo-switch-64847311.html,"Transparence élevée:L'étui a une haute transparence qui vous permet de mettre en valeur la beauté de votre Nintendo Switch sans aucune distorsion.Protection fendue ultra mince:Le boîtier est ultra-mince et divisé en deux parties, offrant une protection maximale sans ajouter de volume.Paquet complet:Le package comprend l'étui complet, garantissant que vous obtenez une solution complète pour protéger votre Nintendo Switch.Compatible avec Nintendo:L'étui est compatible avec la Nintendo Switch, ce qui en fait l'accessoire idéal pour votre console de jeu."
Manette Fillaire Usb Adaptable Compatible Xbox360 // Convient Windows PC,189.0,159.0,3.0,https://www.jumia.ma/generic-manette-fillaire-usb-adaptable-compatible-xbox360-convient-windows-pc-64150208.html,Mannette fillaire Usb AdaptableCompatible  Xbox360 / Convient pour PC OrdinateurGeneric Contrôleur de Jeu filaire à brancher via le port Usb de votre Console de Jeu XBox 360Convient au système de jeu vidéo et de divertissement XBOX 360.pour  une expérience de jeu agréable  Précision et Confort par les poignées réactives et précises obtiennent.Le D-Pad redessiné est idéal pour tout type de jeux. Covient aux Jeux De sports. Combat. FPS. Optimisé pour les mouvements directionnels et rapides du D-Pad Game Pad  Joystick PC pour xbox 360 Manette pour XBOX 360. compatible avec WINDOWS Stick gauche. Stick droit. Touche flèches. Une clé. Touche B. Touche X. Touche Y. pour clé Windows. Touche menuMatériel: ABS Couleur: noir
Onikuma K19 Casque gaming RGB Stéréo LED pour PC PS4 XBOX ONE Noir,499.0,179.0,3.6,https://www.jumia.ma/onikuma-k19-casque-gaming-rgb-stereo-led-pour-pc-ps4-xbox-one-noir-58955287.html,"Modèle: ONIKUMA K19Taille du haut-parleur: 40mmSensibilité: 118 +/-3dbMicrophone: 6.0*5.0mmImpédance: 32Ω +/-15%Longueur du câble: 2.1M +/-15%Directivité: omnidirectionnelleImpédance du Microphone: 2.2kGamme de fréquence: 15Hz-20 KHzTension de fonctionnement de la LED: DC5VSensibilité du Microphone: -36 +/-3dBCourant de fonctionnement: prise casque: USB + 3.5mm 4PinLongueur du câble: env. 2.1m / 6.88ftPoids du colis: 483g/1,06lbSpécifications:Casque de jeu pour un, casque sur l'oreille PC avec Microphone à suppression de bruit contrôleur de Volume de lumière LED pour commutateur ordinateur portable tablette SmartphonesLe casque ONIKUMA K19 est fabriqué dans un matériau confortable et conçu pour les joueurs qui s'attendent à un casque de jeu léger, d'une qualité sonore supérieure et bien fait. Sa technologie sonore professionnelle et son artisanat délicat ainsi que son apparence uniqueFera profiter chaque joueur des scènes de jeu les plus excitantes et d'une expérience auditive inégalée.Caractéristique【Excellente qualité sonore 】 le casque de jeu K19 adopte un puissant plongeur de 50mm pour fournir un son surround 7.1 qui générera un positionnement plus précis dans les jeux et offrira une expérience sonore plus sensible. Vous pouvez entendre chaque mouvement de vos nuisibles et ressentir les scènes de jeu les plus réalistes. Avec un effet sonore vif, clair et immersif, le casque est idéal pour jouer, travailler, étudier, chatter, utiliser skype, etc.【Large compatibilité】 ce casque de jeu multi-plateforme disponible convient à tous les appareils d'interface de 3.5mm. Supporte PlayStation 4, nouveau, PC, 3DS, ordinateur portable, tablette, iPad, ordinateur, téléphone portable. Remarque: un adaptateur Microsoft supplémentaire (non inclus) est requis lors de la connexion aux contrôleurs de l'ancienne version one, 360 et PS3 ne sont pas pris en charge.【Suppression du bruit & micro réglable 】 le microphone avancé a adopté un pilote magnétique en néodyme de haute précision et une puce de réduction du bruit, qui réduira efficacement le bruit ambiant et offrira une voix plus claire à vos partenaires. Le micro réglable à 120 ° peut être fixé à n'importe quelle position pour une livraison vocale plus précise. Contrôleur en ligne avec contrôle du volume et touche muet, facile à régler le volume et allumer/éteindre le micro pendant les jeux.【Conception confortable 】 avec une éponge à mémoire douce et respirante, de grandes oreillettes et un bandeau ergonomique, ce casque est conçu pour être conforme aux spécifications techniques du corps humain qui peuvent réduire les problèmes d'audition et la chaleur. Le matériau en cuir léger respectueux de la peau et le bandeau de rembourrage réglable assureront votre confort extrême même après un port prolongé.【Cool lumières LED 】 conçus avec un noir pur classique et un style élégant, les écouteurs conviennent aux hommes et aux femmes. L'effet de lumière LED Cool respirant avec 7 couleurs changeantes automatiquement améliore considérablement l'atmosphère de jeu, vous vous sentirez des scènes de jeu plus excitantes. Remarque: le port USB est uniquement pour les lumières LED."
Nouveau mini Clavier et Souris Sans Fil Bluetooth USB,180.0,149.0,4.4,https://www.jumia.ma/generic-nouveau-mini-clavier-et-souris-sans-fil-bluetooth-usb-61372995.html,"Dernière technologie sans fil 2,4 GHz pour une portée bien plus grande (jusqu'à 10 mètres), moins de chance d'interférences avec d'autres appareils sans fil à proximité. Indicateurs de charge de la batterie sur le clavier.Souris optique sans fil. Design satiné au toucher et pour cliquer.Le receveur USB sans fil est intégré discrètement au dos de la souris.Le protège clavier en gel gratuit protège le clavier de la poussière, des salissures, des liquides et des rayures."
